date_id,date,year,quarter,month,day,iso_week,iso_dow,is_weekend,is_month_start,is_month_end
20201215,2020-12-15,2020,4,12,15,51,2,False,False,False
20201216,2020-12-16,2020,4,12,16,51,3,False,False,False
20201217,2020-12-17,2020,4,12,17,51,4,False,False,False
20201218,2020-12-18,2020,4,12,18,51,5,False,False,False
20201219,2020-12-19,2020,4,12,19,51,6,True,False,False
20201220,2020-12-20,2020,4,12,20,51,7,True,False,False
20201221,2020-12-21,2020,4,12,21,52,1,False,False,False
20201222,2020-12-22,2020,4,12,22,52,2,False,False,False
20201223,2020-12-23,2020,4,12,23,52,3,False,False,False
20201224,2020-12-24,2020,4,12,24,52,4,False,False,False
20201225,2020-12-25,2020,4,12,25,52,5,False,False,False
20201226,2020-12-26,2020,4,12,26,52,6,True,False,False
20201227,2020-12-27,2020,4,12,27,52,7,True,False,False
20201228,2020-12-28,2020,4,12,28,53,1,False,False,False
20201229,2020-12-29,2020,4,12,29,53,2,False,False,False
20201230,2020-12-30,2020,4,12,30,53,3,False,False,False
20201231,2020-12-31,2020,4,12,31,53,4,False,False,True
20210101,2021-01-01,2021,1,1,1,53,5,False,True,False
20210102,2021-01-02,2021,1,1,2,53,6,True,False,False
20210103,2021-01-03,2021,1,1,3,53,7,True,False,False
20210104,2021-01-04,2021,1,1,4,1,1,False,False,False
20210105,2021-01-05,2021,1,1,5,1,2,False,False,False
20210106,2021-01-06,2021,1,1,6,1,3,False,False,False
20210107,2021-01-07,2021,1,1,7,1,4,False,False,False
20210108,2021-01-08,2021,1,1,8,1,5,False,False,False
20210109,2021-01-09,2021,1,1,9,1,6,True,False,False
20210110,2021-01-10,2021,1,1,10,1,7,True,False,False
20210111,2021-01-11,2021,1,1,11,2,1,False,False,False
20210112,2021-01-12,2021,1,1,12,2,2,False,False,False
20210113,2021-01-13,2021,1,1,13,2,3,False,False,False
20210114,2021-01-14,2021,1,1,14,2,4,False,False,False
20210115,2021-01-15,2021,1,1,15,2,5,False,False,False
20210116,2021-01-16,2021,1,1,16,2,6,True,False,False
20210117,2021-01-17,2021,1,1,17,2,7,True,False,False
20210118,2021-01-18,2021,1,1,18,3,1,False,False,False
20210119,2021-01-19,2021,1,1,19,3,2,False,False,False
20210120,2021-01-20,2021,1,1,20,3,3,False,False,False
20210121,2021-01-21,2021,1,1,21,3,4,False,False,False
20210122,2021-01-22,2021,1,1,22,3,5,False,False,False
20210123,2021-01-23,2021,1,1,23,3,6,True,False,False
20210124,2021-01-24,2021,1,1,24,3,7,True,False,False
20210125,2021-01-25,2021,1,1,25,4,1,False,False,False
20210126,2021-01-26,2021,1,1,26,4,2,False,False,False
20210127,2021-01-27,2021,1,1,27,4,3,False,False,False
20210128,2021-01-28,2021,1,1,28,4,4,False,False,False
20210129,2021-01-29,2021,1,1,29,4,5,False,False,False
20210130,2021-01-30,2021,1,1,30,4,6,True,False,False
20210131,2021-01-31,2021,1,1,31,4,7,True,False,True
20210201,2021-02-01,2021,1,2,1,5,1,False,True,False
20210202,2021-02-02,2021,1,2,2,5,2,False,False,False
20210203,2021-02-03,2021,1,2,3,5,3,False,False,False
20210204,2021-02-04,2021,1,2,4,5,4,False,False,False
20210205,2021-02-05,2021,1,2,5,5,5,False,False,False
20210206,2021-02-06,2021,1,2,6,5,6,True,False,False
20210207,2021-02-07,2021,1,2,7,5,7,True,False,False
20210208,2021-02-08,2021,1,2,8,6,1,False,False,False
20210209,2021-02-09,2021,1,2,9,6,2,False,False,False
20210210,2021-02-10,2021,1,2,10,6,3,False,False,False
20210211,2021-02-11,2021,1,2,11,6,4,False,False,False
20210212,2021-02-12,2021,1,2,12,6,5,False,False,False
20210213,2021-02-13,2021,1,2,13,6,6,True,False,False
20210214,2021-02-14,2021,1,2,14,6,7,True,False,False
20210215,2021-02-15,2021,1,2,15,7,1,False,False,False
20210216,2021-02-16,2021,1,2,16,7,2,False,False,False
20210217,2021-02-17,2021,1,2,17,7,3,False,False,False
20210218,2021-02-18,2021,1,2,18,7,4,False,False,False
20210219,2021-02-19,2021,1,2,19,7,5,False,False,False
20210220,2021-02-20,2021,1,2,20,7,6,True,False,False
20210221,2021-02-21,2021,1,2,21,7,7,True,False,False
